workload,topology,serialization_s,first_byte_s,total_latency_s,transfer_count,max_single_transfer_serialization_s,dominant_collective,dominant_tensor
Batched B512 Rect 64Kx128K,"Circulant {1,5,17}",2052.421705181867,2e-06,2052.421707181867,1,2052.421705181867,REDUCE_SCATTER,Matmul0:T1
Batched B512 Rect 64Kx128K,Torus 4x4x4,4691.249611844267,3e-06,4691.249614844267,1,4691.249611844267,REDUCE_SCATTER,Matmul0:T1
Batched B512 Rect 64Kx128K,Mesh 4x4x4,6254.999482459022,4.5e-06,6254.999486959022,1,6254.999482459022,REDUCE_SCATTER,Matmul0:T1
Batched B512 Rect 64Kx128K,Ring 64,6157.2651155456,1.6e-05,6157.2651315456,1,6157.2651155456,REDUCE_SCATTER,Matmul0:T1
Batched B512 Small 2Kx8K,"Circulant {1,5,17}",20.329511867733334,6e-06,20.329517867733337,3,12.216795864177778,BROADCAST,Matmul0:T0
Batched B512 Small 2Kx8K,Torus 4x4x4,30.637433378133334,9e-06,30.637442378133333,3,18.325193796266667,ALLREDUCE,Matmul0:T1
Batched B512 Small 2Kx8K,Mesh 4x4x4,61.370310473955556,1.35e-05,61.37032397395556,3,36.650387592533335,BROADCAST,Matmul0:T0
Batched B512 Small 2Kx8K,Ring 64,36.364056439466665,4.8e-05,36.364104439466665,3,24.0518168576,ALLREDUCE,Matmul0:T1
Batched B512 Small 4Kx16K,"Circulant {1,5,17}",16.034544571733335,2e-06,16.034546571733333,1,16.034544571733335,REDUCE_SCATTER,Matmul0:T1
Batched B512 Small 4Kx16K,Torus 4x4x4,36.650387592533335,3e-06,36.650390592533334,1,36.650387592533335,REDUCE_SCATTER,Matmul0:T1
Batched B512 Small 4Kx16K,Mesh 4x4x4,48.86718345671111,4.5e-06,48.86718795671111,1,48.86718345671111,REDUCE_SCATTER,Matmul0:T1
Batched B512 Small 4Kx16K,Ring 64,48.1036337152,1.6e-05,48.1036497152,1,48.1036337152,REDUCE_SCATTER,Matmul0:T1
Batched B512 VeryWide 2Kx256K,"Circulant {1,5,17}",128.27635657386668,2e-06,128.27635857386667,1,128.27635657386668,REDUCE_SCATTER,Matmul0:T1
Batched B512 VeryWide 2Kx256K,Torus 4x4x4,293.2031007402667,3e-06,293.20310374026667,1,293.2031007402667,REDUCE_SCATTER,Matmul0:T1
Batched B512 VeryWide 2Kx256K,Mesh 4x4x4,390.9374676536889,4.5e-06,390.9374721536889,1,390.9374676536889,REDUCE_SCATTER,Matmul0:T1
Batched B512 VeryWide 2Kx256K,Ring 64,384.8290697216,1.6e-05,384.8290857216,1,384.8290697216,REDUCE_SCATTER,Matmul0:T1
Batched B512 Wide 8Kx256K,"Circulant {1,5,17}",513.1054262954667,2e-06,513.1054282954667,1,513.1054262954667,REDUCE_SCATTER,Matmul0:T1
Batched B512 Wide 8Kx256K,Torus 4x4x4,1172.8124029610667,3e-06,1172.8124059610668,1,1172.8124029610667,REDUCE_SCATTER,Matmul0:T1
Batched B512 Wide 8Kx256K,Mesh 4x4x4,1563.7498706147555,4.5e-06,1563.7498751147555,1,1563.7498706147555,REDUCE_SCATTER,Matmul0:T1
Batched B512 Wide 8Kx256K,Ring 64,1539.3162788864,1.6e-05,1539.3162948863999,1,1539.3162788864,REDUCE_SCATTER,Matmul0:T1
