map_chips,batch_size,n_size,k_size,topology,total_latency,serialization_latency,first_byte_latency,total_energy,total_network_bytes,max_link_load,transfer_count,dominant_collective,dominant_tensor
64,16,4096,2048,"Circulant {1,5,17}",0.00024666773333333335,0.00024466773333333336,2e-06,0.067645734912,33554432.0,11010048.0,1,ALLGATHER,Matmul0:W0
64,16,4096,2048,Torus 4x4x4,0.0005622405333333333,0.0005592405333333334,3e-06,0.154618822656,33554432.0,25165824.0,1,ALLGATHER,Matmul0:W0
64,16,4096,2048,Mesh 4x4x4,0.0007501540444444444,0.0007456540444444444,4.5e-06,0.309237645312,33554432.0,33554432.0,1,ALLGATHER,Matmul0:W0
64,16,4096,2048,Ring 64,0.0007500031999999999,0.0007340032,1.6e-05,0.067645734912,33554432.0,33030144.0,1,ALLGATHER,Matmul0:W0
64,16,4096,4096,"Circulant {1,5,17}",0.0009806709333333335,0.0009786709333333334,2e-06,0.270582939648,134217728.0,44040192.0,1,ALLGATHER,Matmul0:W0
64,16,4096,4096,Torus 4x4x4,0.0022399621333333334,0.0022369621333333334,3e-06,0.618475290624,134217728.0,100663296.0,1,ALLGATHER,Matmul0:W0
64,16,4096,4096,Mesh 4x4x4,0.002987116177777778,0.0029826161777777777,4.5e-06,1.236950581248,134217728.0,134217728.0,1,ALLGATHER,Matmul0:W0
64,16,4096,4096,Ring 64,0.0029520128,0.0029360128,1.6e-05,0.270582939648,134217728.0,132120576.0,1,ALLGATHER,Matmul0:W0
64,16,16384,2048,"Circulant {1,5,17}",0.15883031146666668,0.15882431146666667,6e-06,26.04360794112,8623489024.0,4294967296.0,3,BROADCAST,Matmul0:T0
64,16,16384,2048,Torus 4x4x4,0.23936394826666668,0.23935494826666667,9e-06,48.308718403583995,8623489024.0,6442450944.0,3,ALLREDUCE,Matmul0:T1
64,16,16384,2048,Mesh 4x4x4,0.4794690505777778,0.4794555505777778,1.35e-05,96.61743680716799,8623489024.0,12884901888.0,3,BROADCAST,Matmul0:T0
64,16,16384,2048,Ring 64,0.2841421909333333,0.2840941909333333,4.8e-05,26.04360794112,8623489024.0,8455716864.0,3,ALLREDUCE,Matmul0:T1
64,16,16384,4096,"Circulant {1,5,17}",0.3191459310222222,0.3191399310222222,6e-06,52.222507352064,17314086912.0,8589934592.0,3,BROADCAST,Matmul0:T0
64,16,16384,4096,Torus 4x4x4,0.4802102046222222,0.4802012046222222,9e-06,96.752728276992,17314086912.0,12884901888.0,3,ALLREDUCE,Matmul0:T1
64,16,16384,4096,Mesh 4x4x4,0.9633985254222223,0.9633850254222223,1.35e-05,193.505456553984,17314086912.0,25769803776.0,3,BROADCAST,Matmul0:T0
64,16,16384,4096,Ring 64,0.5697276899555556,0.5696796899555555,4.8e-05,52.222507352064,17314086912.0,16911433728.0,3,ALLREDUCE,Matmul0:T1
64,16,65536,2048,"Circulant {1,5,17}",0.6330662837333334,0.6330602837333333,6e-06,103.971494559744,34393292800.0,17179869184.0,3,BROADCAST,Matmul0:T0
64,16,65536,2048,Torus 4x4x4,0.9551918309333334,0.9551828309333333,9e-06,193.0319364096,34393292800.0,25769803776.0,3,ALLREDUCE,Matmul0:T1
64,16,65536,2048,Mesh 4x4x4,1.9111248159111112,1.911111315911111,1.35e-05,386.0638728192,34393292800.0,51539607552.0,3,BROADCAST,Matmul0:T0
64,16,65536,2048,Ring 64,1.1341878016,1.1341398016,4.8e-05,103.971494559744,34393292800.0,33822867456.0,3,ALLREDUCE,Matmul0:T1
64,16,65536,4096,"Circulant {1,5,17}",1.2676178755555556,1.2676118755555557,6e-06,208.078280589312,68853694464.0,34359738368.0,3,BROADCAST,Matmul0:T0
64,16,65536,4096,Torus 4x4x4,1.9118659699555556,1.9118569699555557,9e-06,386.199164289024,68853694464.0,51539607552.0,3,ALLREDUCE,Matmul0:T1
64,16,65536,4096,Mesh 4x4x4,3.826710056088889,3.826696556088889,1.35e-05,772.398328578048,68853694464.0,103079215104.0,3,BROADCAST,Matmul0:T0
64,16,65536,4096,Ring 64,2.2698189112888887,2.2697709112888886,4.8e-05,208.078280589312,68853694464.0,67645734912.0,3,ALLREDUCE,Matmul0:T1
64,16,262144,2048,"Circulant {1,5,17}",2.5300101728,2.5300041728,6e-06,415.68304103424,137472507904.0,68719476736.0,3,BROADCAST,Matmul0:T0
64,16,262144,2048,Torus 4x4x4,3.8185033616,3.8184943616,9e-06,771.924808433664,137472507904.0,103079215104.0,3,ALLREDUCE,Matmul0:T1
64,16,262144,2048,Mesh 4x4x4,7.637747877244445,7.637734377244445,1.35e-05,1543.849616867328,137472507904.0,206158430208.0,3,BROADCAST,Matmul0:T0
64,16,262144,2048,Ring 64,4.5343702442666665,4.534322244266667,4.8e-05,415.68304103424,137472507904.0,135291469824.0,3,ALLREDUCE,Matmul0:T1
64,16,262144,4096,"Circulant {1,5,17}",5.061505653688888,5.061499653688889,6e-06,831.501373538304,275012124672.0,137438953472.0,3,BROADCAST,Matmul0:T0
64,16,262144,4096,Torus 4x4x4,7.63848903128889,7.638480031288889,9e-06,1543.9849083371519,275012124672.0,206158430208.0,3,ALLREDUCE,Matmul0:T1
64,16,262144,4096,Mesh 4x4x4,15.279956178755555,15.279942678755555,1.35e-05,3087.9698166743037,275012124672.0,412316860416.0,3,BROADCAST,Matmul0:T0
