map_chips,batch_size,n_size,k_size,topology,total_latency,serialization_latency,first_byte_latency,total_energy,total_network_bytes,max_link_load,transfer_count,dominant_collective,dominant_tensor
8,16,16384,4096,"Circulant {1,5,17}",2.553125448177778,2.5531194481777777,6e-06,417.780058816512,138512695296.0,68719476736.0,3,BROADCAST,Matmul0:T0
8,16,16384,4096,Torus 4x4x4,3.8416186369777776,3.8416096369777777,9e-06,774.021826215936,138512695296.0,103079215104.0,3,ALLREDUCE,Matmul0:T1
8,16,16384,4096,Mesh 4x4x4,7.707093703377778,7.707080203377778,1.35e-05,1548.043652431872,138512695296.0,206158430208.0,3,BROADCAST,Matmul0:T0
8,16,16384,4096,Ring 64,4.557485519644445,4.557437519644444,4.8e-05,417.780058816512,138512695296.0,135291469824.0,3,ALLREDUCE,Matmul0:T1
8,16,65536,2048,"Circulant {1,5,17}",5.064488269866667,5.064482269866667,6e-06,831.771956477952,275146342400.0,137438953472.0,3,BROADCAST,Matmul0:T0
8,16,65536,2048,Torus 4x4x4,7.641471647466667,7.641462647466667,9e-06,1544.2554912768,275146342400.0,206158430208.0,3,ALLREDUCE,Matmul0:T1
8,16,65536,2048,Mesh 4x4x4,15.288904027288888,15.288890527288888,1.35e-05,3088.5109825536,275146342400.0,412316860416.0,3,BROADCAST,Matmul0:T0
8,16,65536,2048,Ring 64,9.0731664128,9.0731184128,4.8e-05,831.771956477952,275146342400.0,270582939648.0,3,ALLREDUCE,Matmul0:T1
8,16,65536,4096,"Circulant {1,5,17}",10.140901004444444,10.140895004444445,6e-06,1664.626244714496,550829555712.0,274877906944.0,3,BROADCAST,Matmul0:T0
8,16,65536,4096,Torus 4x4x4,15.294864759644444,15.294855759644445,9e-06,3089.593314312192,550829555712.0,412316860416.0,3,ALLREDUCE,Matmul0:T1
8,16,65536,4096,Mesh 4x4x4,30.613585948711112,30.61357244871111,1.35e-05,6179.186628624384,550829555712.0,824633720832.0,3,BROADCAST,Matmul0:T0
8,16,65536,4096,Ring 64,18.158215290311112,18.15816729031111,4.8e-05,1664.626244714496,550829555712.0,541165879296.0,3,ALLREDUCE,Matmul0:T1
8,16,262144,2048,"Circulant {1,5,17}",20.2400393824,20.2400333824,6e-06,3325.46432827392,1099780063232.0,549755813888.0,3,BROADCAST,Matmul0:T0
8,16,262144,2048,Torus 4x4x4,30.5479638928,30.5479548928,9e-06,6175.398467469312,1099780063232.0,824633720832.0,3,ALLREDUCE,Matmul0:T1
8,16,262144,2048,Mesh 4x4x4,61.10188851795556,61.10187501795556,1.35e-05,12350.796934938624,1099780063232.0,1649267441664.0,3,BROADCAST,Matmul0:T0
8,16,262144,2048,Ring 64,36.27462595413333,36.274577954133335,4.8e-05,3325.46432827392,1099780063232.0,1082331758592.0,3,ALLREDUCE,Matmul0:T1
8,16,262144,4096,"Circulant {1,5,17}",40.49200322951111,40.491997229511114,6e-06,6652.010988306432,2200096997376.0,1099511627776.0,3,BROADCAST,Matmul0:T0
8,16,262144,4096,Torus 4x4x4,61.10784925031111,61.10784025031111,9e-06,12351.879266697215,2200096997376.0,1649267441664.0,3,ALLREDUCE,Matmul0:T1
8,16,262144,4096,Mesh 4x4x4,122.23955493004445,122.23954143004444,1.35e-05,24703.75853339443,2200096997376.0,3298534883328.0,3,BROADCAST,Matmul0:T0
8,16,262144,4096,Ring 64,72.56113437297778,72.56108637297777,4.8e-05,6652.010988306432,2200096997376.0,2164663517184.0,3,ALLREDUCE,Matmul0:T1
8,256,4096,2048,"Circulant {1,5,17}",5.064488269866667,5.064482269866667,6e-06,831.771956477952,275146342400.0,137438953472.0,3,BROADCAST,Matmul0:T0
8,256,4096,2048,Torus 4x4x4,7.641471647466667,7.641462647466667,9e-06,1544.2554912768,275146342400.0,206158430208.0,3,ALLREDUCE,Matmul0:T1
8,256,4096,2048,Mesh 4x4x4,15.288904027288888,15.288890527288888,1.35e-05,3088.5109825536,275146342400.0,412316860416.0,3,BROADCAST,Matmul0:T0
